Example                           bargaining battle_of_the_sexes  bertrand   common_value_auction  cournot         dictator    guess_two_thirds  lemon_market matching_pennies principal_agent    prisoner      public_goods         quiz         real_effort    stackelberg       survey     traveler_dilemma      trust         ultimatum   vickrey_auction volunteer_dilemma
subsession -> group                   0               0               0               1               0               0               0               1               1               0               0               0               0               0               0               0               0               0               1               0               0        
get_groups_(subsession)               0               0               0               1               0               0               0               1               1               0               0               0               0               0               0               0               0               0               1               0               0        

player -> player                      1               1               0               0               1               0               0               0               0               0               1               0               0               0               1               0               1               0               0               0               0 
get_others_in_group_(player)          1               1               0               0               1               0               0               0               0               0               1               0               0               0               1               0               1               0               0               0               0        
in_all_rounds_(player)                0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0        

group -> player                       1               1               1               1               1               1               1               1               1               1               1               0               0               0               1               0               1               1               1               1               1        
get_players_(group)                   1               0               1               1               1               0               1               1               1               0               1               0               0               0               1               0               1               0               1               1               1        
get_player_by_role_(group)            0               1               0               0               0               0               0               1               1               1               0               0               0               0               0               0               0               0               0               0               0        
get_player_by_id_(group)              0               0               0               0               0               1               0               0               0               0               0               0               0               0               0               0               0               1               0               0               0        

subsession -> player                  0               0               0               0               0               0               0               0               0               0               0               1               1               0               0               0               0               0               0               1               0        
get_players_(subsession)              0               0               0               0               0               0               0               0               0               0               0               1               1               0               0               0               0               0               0               1               0        

player -> role                        0               1               0               0               0               0               0               1               1               1               0               0               0               0               0               0               0               1               0               0               0        
role_(player_attribute)               0               1               0               0               0               0               0               1               1               1               0               0               0               0               0               0               0               1               0               0               0        

player -> group                       0               0               0               1               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0        
group_(player_attribute)              0               0               0               1               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0        

group -> group                        0               0               0               0               0               0               1               1               0               0               0               0               0               0               0               0               0               0               0               0               0       
in_all_rounds_(group)                 0               0               0               0               0               0               0               1               0               0               0               0               0               0               0               0               0               0               0               0               0        
in_previous_rounds_(group)            0               0               0               0               0               0               1               0               0               0               0               0               0               0               0               0               0               0               0               0               0        

subsession -> subsession              0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0        
in_previous_rounds_(subsession)       0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0        

player -> payoff                      1               1               1               1               1               1               1               1               1               1               1               1               0               0               1               0               1               1               1               1               1        
payoff_(player_attribute)             1               1               1               1               1               1               1               1               1               1               1               1               0               0               1               0               1               1               1               1               1        

subsession -> session                 0               0               0               0               0               0               0               0               1               0               0               0               1               0               0               0               0               0               1               0               0        
session_(subsession_attribute)        0               0               0               0               0               0               0               0               1               0               0               0               1               0               0               0               0               0               1               0               0        

group -> group                        0               0               0               0               0               0               0               0               1               0               0               0               0               0               0               0               0               0               0               0               0        
subsession_(group)                    0               0               0               0               0               0               0               0               1               0               0               0               0               0               0               0               0               0               0               0               0        


